t,u1,u2,u3,f1,f2
0.0,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.0033344447,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.0066688894,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.010003334,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.013337779,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.016672224,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.020006668,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.023341114,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.026675558,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.030010002,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.033344448,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.03667889,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.040013336,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.04334778,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.046682227,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.05001667,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.053351115,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.05668556,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.060020003,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.06335445,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.066688895,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.070023336,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.07335778,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.07669223,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.08002667,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.08336112,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.08669556,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.09003001,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.093364455,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.096698895,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.10003334,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.10336778,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.10670223,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.11003668,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.11337112,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.11670557,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.12004001,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.123374455,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.1267089,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.13004334,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.13337779,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.13671224,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.14004667,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.14338112,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.14671557,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.15005001,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.15338446,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.1567189,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.16005334,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.16338779,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.16672224,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.17005669,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.17339112,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.17672557,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
0.18006001,0.8615448,0.04144025,0.0012976527,-0.024219349,-5.5134296e-06
